PairID,Protocol/Results,PMCID,Link,Text,Handling missing data (check all that were reported),Used full article
1,Protocol,PMC3117715,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3117715/,"...Analyses of primary and secondary outcomes will be by intention to treat including all those recruited, and will compare differences between MMHU and standard care:...We will use imputation methods for dealing with missing values from those who withdraw, die, or otherwise do not provide follow-up data. We will conduct sensitivity analyses to explore the robustness of the results to alternative assumptions about the randomness of missing data....",Unclear ,Yes
1,Results,PMC3698942,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3698942/,"...Outcome analyses were by intention to treat and compared differences between the specialist unit and standard care on primary and secondary outcomes....Analysis of health status outcomes for surviving participants used multiple imputation for missing data: 50 imputed datasets were created and estimates combined across datasets with Rubin’s rules.34 35...Some data were missing, and we used imputation to include all cases when possible....",Multiple imputation ,No
2,Protocol,PMC3120681,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3120681/,...The null hypothesis that the changes are not different among the treatment arms will be tested by examining treatment effect parameters in the repeated measures analyses of all the eligible subjects in the ITT analysis. We will use random effects model taking into consideration the Step I randomization and Step II randomization factors....We will impute the missing data and carry out sensitivity analyses as necessary....,Unclear ,Yes
2,Results,PMC6040068,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6040068/,"...In order to examine the optimum initial target dose of sertraline, we analysed results from all those who were cluster-randomised at week 1 to titrate sertraline up to 50 mg/day or 100 mg/day and, had they followed the protocol, would have stayed on that sertraline dose up to week 9 — that is, those who had remitted and continued on sertraline; those who had not remitted and were randomised at week 3 to continue sertraline; and those who declined the second randomisation....Each observation was weighted by inverse probability of censoring (IPCW) to account for missing outcomes due to being allocated to the combination or switching arms at step 2 randomisation....All efficacy and safety analyses followed the intention-to-treat principle, and all patents were analysed in the groups to which they were randomised....### Table 3 Primary and secondary outcomes at week 9 for step 1 randomisation...### Table 4 Secondary outcomes at week 25 for step 1 randomisation...",Other,Yes
3,Protocol,PMC3355035,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3355035/,"...An intent-to-treat approach will be used so that subjects are considered to be in the condition to which they were randomized despite how much they actually used that type of care....Using an intent to treat analysis, participants who cannot be reached or who fail to return the cotinine strip will be considered to be still smoking....",Unclear  | Not reported,No
3,Results,PMC4260077,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4260077/,"...Using an intention-to-treat analysis, participants who were not available for follow-up or did not return the survey were considered smokers and those who did not return the cotinine test or who had an unreadable cotinine strip were considered to test positive for smoking for the biochemical confirmation analyses....To compare the two interventions on efficacy and usage, χ2 tests or Fisher’s exact tests and t tests were conducted using an intention-to-treat analysis in which non-responders were considered smokers....",Single imputation,No
4,Protocol,PMC3418177,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3418177/,,Not reported,No
4,Results,PMC3770709,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3770709/,...Data are presented of patients who completed both the baseline and follow-up measurements....The patients still undergoing CBT were not included in the analyses....,Complete case ,No
5,Protocol,PMC6069849,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6069849/,"...Furthermore, these models deal with missing data offering valid inferences, assuming that missing observations are unrelated to unobserved outcomes [70]....",Not reported,Yes
5,Results,PMC6977217,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6977217/,"...Furthermore, these models deal with missing data offering valid inferences, assuming that missing observations are unrelated to unobserved outcomes.36...",Not reported,Yes
