PairID,Protocol/Results,PMCID,Link,Text,Level of randomization,Restrictions to randomization (check all that apply),Trial design (select the best answer),Factors (select the best answer),Framework (select the best answer),Used full article
1,Protocol,PMC3117715,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3117715/,"...We hypothesised that a specialist unit for people admitted as emergencies to a general hospital with concurrent dementia or delirium would be similarly effective, and cost-effective....### Main research hypothesis Patients admitted as an emergency to a general hospital with concurrent 'confusion' and managed on a specialist ward (MMHU), will spend more days at home out of the 90 days following randomisation, than those receiving standard care [10]. ### Secondary hypotheses Compared with standard care, management on the MMHU will be associated with: 1. lower mortality 2. better quality of life, less behavioural disturbance, and less disability after 90 days 3. fewer readmissions, reduced total hospital stay over 90 days, and fewer new care home placements 4. greater satisfaction with hospital care amongst family carers 5. less carer strain and psychological dysfunction. Management on the MMHU is cost-effective compared with standard care. Management on the MMHU is associated with better quality of care and patient experience in a concurrent observational study....The study population comprises patients admitted to the Acute Medical Admissions Unit of a single large teaching hospital (providing sole emergency general medical services for its catchment population), who are aged over 65, and thought to be 'confused' on initial assessment by the clinical team responsible for their care....The randomisation sequence is generated using a computer random number generator, in a 1:1 ratio, and a permuted block design with varying block sizes up to 6, stratified by prior care home residence....#### Power and sample size We used data from the prior cohort study to estimate sample size and statistical power. The Days at Home variable has a negatively skewed distribution (median 62 days at home, inter-quartile range 1 to 82 days), with 24% of participants having zero days at home. We assumed that the Mann-Whitney U test would be used to test for differences between groups. We used a bootstrapping simulation method to investigate the power of the study to detect possible effects of the MMHU, on both the probability of zero days at home and numbers of days spent there, under a range of plausible assumptions. A study with 300 participants in each group has 80% power to detect a 5 day difference in days at home, if the proportion of patients with zero days at home is reduced to 20% (a 15% reduction). This represents a reasonable minimum clinically important difference....However, it approximates to a pragmatic, parallel group, randomised controlled trial....",Individual persons ,Blocking | Stratification,Parallel ,Single factors,Equivalence ,No
1,Results,PMC3698942,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3698942/,"...We hypothesised that the unit would improve outcomes, experience, and satisfaction compared with standard care....We recruited patients admitted for acute medical care to a large British National Health Service hospital providing sole emergency medical services for its local population....Potentially suitable patients were entered on a computerised screening log and, if a bed was available on the specialist unit, randomised 1:1 between the unit and standard care in a permuted block design, stratified for previous residence in a care home....To calculate the sample size we used data on number of days spent at home from a previous cohort study in a similar population.3...Three hundred participants in each group gave 80% power to detect a probability of 0.566 or more that a participant from the specialist unit would have more days at home than a participant randomised to standard care....",Individual persons ,Blocking | Stratification,Parallel ,Single factors,Superiority,No
2,Protocol,PMC3120681,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3120681/,"...### Aims The current randomized trial aims to elucidate ""pathways for depression that provides good results for the largest number of sufferers in the shortest time and at the lowest cost"" (Bandolier 2009). More specifically, the objectives of this trial are to examine the following treatment options among patients with an untreated, non-psychotic unipolar major depressive episode: (1) When the 1st line treatment is started with sertraline, which is better as an initial prescription strategy up to 3 weeks in terms of effectiveness and safety (i.e. side effects and treatment continuation), to titrate to the lowest dosage of the effective range or to its highest dosage? (2) When the patients do not remit on the 1st line treatment at 3 weeks, which is better as acute phase treatment up to 9 weeks in terms of effectiveness and safety, to continue sertraline, to augment sertraline with mrtazapine or to switch to mirtazapine? (3) Which of the above strategies of 1st and 2nd line treatments is better as acute phase and continuation treatments up to 25 weeks in terms of effectiveness and safety?...This is an assessor-blinded, parallel-group, multi-centre randomized controlled trial....The pilot study will be a multi-centre study involving:...Eligible participants will be allocated 1:1 to the sertraline 50 mg/d arm and to the sertraline 100 mg/d arm. We will employ cluster randomization by trial site. This cluster randomization will be made by the EDC system. The allocation will use the minimization method adjusting for the number of probable entries as judged by the principal investigator and co-principal investigators (40 or more participants per year vs less than 40 participants per year). We employ cluster randomization for Step I for the following reasons....The patients scoring 5 or more on PHQ9 at week 3 will be allocated 1:1:1 to the continue-sertraline arm, the mirtazapine augmentation arm, and the mirtazapine switch arm. This randomization will use the minimization method adjusting for (i) site, (ii) whether 50% or greater reduction on PHQ9 is achieved or not, and (iii) whether ""moderate"" or greater impairment due to side effects is reported on item 4 of FIBSER....#### Sample size calculation ##### Sample size for Step I Assuming an intra-cluster correlation coefficient to be 0.05 [37,38], with alpha error at 0.05 and statistical power at 0.80, to detect a mean difference of 1 point on PHQ9 (SD = 5), i.e. to detect an effect size of 0.2, we need 66 patients at each of 30 sites. The total sample size is therefore 1980. ##### Sample size for Step II The clinical question for Step II is the main hypothesis of this trial. Previous studies using PHQ9 in the acute phase treatment of major depression have shown that, on average, the PHQ9 scores will drop from 15 (SD = 5) at baseline to 10 (SD = 6) at end of treatment, with a mean change of 5 (SD = 5) [49-51]. We expect a difference of 20% (1 point) in the PHQ9 change scores among the intervention arms and consider this to be a clinically meaningful difference in effect. With alpha error set at 0.05 and statistical power at 0.80, in order to detect a between-group difference of 1 point (SD = 5) in the reduction of PHQ9 scores from baseline, we need 522 per group and 1566 in toto at Step II. Assuming a dropout rate of 20% and a remission rate of 10% at week 3, we need 2175 participants for Step I. One point difference in the mean change score on PHQ9 corresponds with an effect size of 0.2. This is a small effect according to Cohen's rough rule of thumb for effect size interpretation [52]. However, because the present trial represents comparison among active treatments and because the true effect size of antidepressants over placebo appears to be around 0.3 [53] and the average effect size of all the health interventions examined in the Cochrane Library appears to be between 0.3 and 0.4 [54], we consider this to be a clinically meaningful difference in effectiveness worth detecting in a large clinical trial. As a matter of fact, an effect size of 0.2 will be translated into an NNT of 10 if the control event rate is around 50% (e.g. response as defined usually by 50% or greater reduction in depression severity from baseline) and 20 if the control event rate is around 20% (e.g. remission of depression) [55]. They therefore represent clinically meaningful difference in effect. The sample size will be revisited after completion of the pilot study. ##### Sample size for Step III Step III represents continuation treatment for Steps I and II, and will therefore be examined as exploratory studies. We therefore will not calculate sample size necessary to detect a significant difference. However, we will calculate the obtained statistical power post-hoc. ##### Sample size for pilot study The pilot study is a feasibility study and needs no sample size calculation. The target sample size is 200. We will perform no statistical analyses looking at the comparison arms at the end of the pilot study, whose participants will therefore be included in the main study unless there is a major change in the study protocol....",Cluster,None (simple),Parallel ,Single factors,Exploratory ,No
2,Results,PMC6040068,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6040068/,"...We therefore conducted a pragmatic RCT — an RCT that mimics the practice environment and thus maximises applicability — to examine the following two questions concerning the first- and second-line treatments for a hitherto untreated episode of major depression: 1. What is the relative effectiveness and safety of initially titrating to the lowest vs the highest value of the therapeutic dose range of an antidepressant?...Since the available evidence suggests that there may be differences between different classes of antidepressants with respect to dose-response relationship [15], the first hypothesis pertains to the choice of the initial target dose of an SSRI, and of sertraline in particular, within its therapeutic range. 2. When patients do not remit on first-line treatment, what is the relative effectiveness and safety of continuing initial treatment, combining with mirtazapine or switching to mirtazapine?...The Strategic Use of New generation antidepressants for Depression (SUN☺D) is a multi-centre, open-label, assessor-blinded, pragmatic RCT that involved two randomisation steps to examine the first- and second-line treatment strategies for untreated unipolar major depressive episodes. The study was conducted in the departments of psychiatry at 48 clinics and hospitals across Japan between December 2010 and September 2015....In step 1, using the minimisation method adjusting for expected recruitment, study sites were randomised to titrate sertraline up to the minimum or the maximum of the licenced dosage in Japan (50 mg/day or 100 mg/day) by week 3....The cluster randomisation design was chosen to avoid any confusion and possible protocol violation that might have arisen had we asked study physicians, who often had their own preference for either the minimum or the maximum target doses, to use different titrating strategies for different patients....In step 2, participants who had not reached remission, defined as scoring 4 or less on the Patient Health Questionnaire (PHQ-9) [34] at week 3, were randomised 1:1:1 through the web-based central computer system to continue with sertraline, to combine sertraline with mirtazapine or to switch to mirtazapine. The step 2 randomisation used the minimisation method adjusting for site; whether 50% or greater reduction on PHQ-9 had been achieved; and whether patients reported moderate or greater impairment due to side effects....### Sample size For step 1, we calculated that we would need 66 participants at each of 30 sites in order to ensure adequate power (beta level of 0.20) at a two-sided alpha level of 0.05 to detect a mean difference of 1 point on PHQ-9 with an estimated standard deviation (SD) of 5 or a standardised mean difference of 0.20 between the two arms, for the null hypothesis of no difference and an intracluster correlation coefficient of 0.05 [40]. We reasoned that an effect size of 0.20, corresponding with a small effect according to Cohen [41], would represent an important difference between active treatments. The required total sample size for step 1 was 1980. For step 2, we calculated that 522 participants per group would ensure adequate power (beta level of 0.20) at a two-sided alpha level of 0.05 to detect a standardised mean difference of 0.20 among any two of the three treatment groups. Assuming a dropout rate of 10% and a remission rate of 10% at week 3, we needed 1934 participants entering step 1....",Cluster,None (simple),Parallel ,Single factors,Exploratory ,No
3,Protocol,PMC3355035,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3355035/,"...The specific aims are to: Aim 1: Compare the efficacy of the Tobacco Tactics website intervention to the state sponsored 1-800-QUIT-NOW telephone line in improving cessation including: a) 30-day and 6-month quit rates; b) cotinine levels; c) cigarettes smoked/day; d) number of quit attempts; and e) nicotine addiction. Aim 2: Compare Operating Engineers randomized to the Tobacco Tactics website to those randomized to the 1-800-QUIT-NOW telephone quit line in terms of: a) contacts with the intervention; b) medications used; and c) helpfulness of the nurse/coach; and d) willingness to recommend the intervention to others (5 point scale ranging from strongly disagree to strongly agree)....#### Power analysis For Aim 1, power analysis conducted with Power Analysis and Sample Size software (PASS) indicated that the sample size of 92 per group would provide 80% power to detect a 16% difference [33] in quit rates with alpha of .05 two tailed. For Aim 2 which will test of differences in means between the two groups, there will be 92% power to detect what Cohen [40] described as a medium sized difference when tested with alpha of .05, two tailed. Since Local 324 services about 16,000 Operating Engineers and about 29% smoke, we expect that we can easily recruit the 184 smokers needed for this study. To date 135 Operating Engineers have been randomized and recruitment and follow-up is ongoing....Since there is a high probability for cross-contamination within training sessions, randomization will occur by training group (all individuals attending a specific training will be randomized to the same arm)....Clustering by group will be accounted for in analysis by using Generalized Linear Mixed Model variations of logistic regression, linear regression, and Poisson regression [56]....",Cluster,None (simple),Parallel ,Single factors,Equivalence ,Yes
3,Results,PMC4260077,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4260077/,"...The specific aim of this paper was to compare the Tobacco Tactics website targeting operating engineers to the state-sponsored 1-800-QUIT-NOW telephone line on: (1) 30-day and 6-month self-reported quit rates, (2) 6-month cotinine levels, (3) number of quit attempts, (4) nicotine dependence, (5) number of cigarettes smoked/day, (6) smoking self-efficacy, (7) contacts with interventions, (8) medications used, (9) helpfulness of the interventions, and (10) willingness to recommend the interventions to others....Since there was a high probability of cross-contamination within training sessions, randomization occurred at the training class level rather than individual level [17,25]....Since the randomization occurred at the training group level, to test for cluster effects, tests of heterogeneity for smoking status at 30-day and 6-month follow-up were performed using mixed models....",Cluster,None (simple),Parallel ,Single factors,Not reported,Yes
4,Protocol,PMC3418177,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3418177/,"...Fifty seven severely fatigued and 21 non-fatigued cancer survivors will be recruited from the Radboud University Nijmegen Medical Centre....A randomized controlled trial (RCT) with 6 months follow-up will be conducted to identify and measure (neuro)physiological factors of fatigue in severely fatigued disease-free cancer survivors and to determine the role of these factors in the maintaining of fatigue....A total number of 57 severely fatigued and 21 non-fatigued cancer survivors will be included (see power calculation)....As shown in Figure 1, severely fatigued patients will be randomized to either the intervention group (75%) or the control group (25%)....### Power calculation From previous studies in patients with CFS compared to healthy controls we know that groups of at least 10, preferably 20 patients per condition are sufficient to detect significant differences in (neuro)physiological parameters measured with sEMG, MRI, and exercise testing.[21,28,50,51] To identify (neuro)physiological characteristics of fatigue, a comparison of baseline measurements with an age, sex, and previous cancer treatment matched group of 20 non-fatigued patients is sufficient. Fifty seven severely fatigued patients are needed to measure a change in (neuro)physiological factors due to CBT. As depicted in Figure 1, we assume that 5% of the measurements will yield technically insufficient data and 20% of the fatigued patients will drop-out from the study (14% drop-out due to failure to complete CBT or the follow-up measurements and 6% due to cancer recurrence during or after CBT or waiting list). Assuming that about two third of the patients who complete CBT will have a clinically significant response to CBT, defined as a CIS-fatigue score of less than 35 points, there will be 20 responding patients, 10 non- responding patients, and 10 untreated patients. Based on 30 patients in the CBT condition and 10 patients in the waiting list condition and assuming that the success rate of CBT is about 67% and the chance to recover spontaneously in the waiting list condition is maximally 10%, the power of the study to demonstrate a significantly greater decrease in CIS-fatigue score in patients in the intervention condition than in patients in the waiting list condition will be at least 80%....",Individual persons ,None (simple),Parallel ,Single factors,Exploratory ,No
4,Results,PMC3770709,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3770709/,"...The aims of this study were A) to examine if volumetric and metabolic parameters are different between severely fatigued and non-fatigued cancer survivors and B) to examine the effect of CBT on these volumetric and metabolic markers in severely fatigued cancer survivors....The local ethics committee of the Radboud University Nijmegen Medical Centre (RUNMC, Nijmegen, the Netherlands) approved the study and all participants provided written informed consent....Sixty-four fatigued patients consented and were randomly assigned at a ratio of 3:1 to either the intervention condition (n=50) or the waiting list condition (n=14). Random assignment was done by means of a sequence of labeled cards contained in sealed, numbered envelopes prepared by a statistical adviser....The power calculation is described in the study protocol as published previously [34]....",Individual persons ,None (simple),Parallel ,Single factors,Exploratory ,No
5,Protocol,PMC6069849,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6069849/,"...The first objective is to examine whether combining mCIMT with AOT will augment the treatment effects and result in longer retention. Secondly, the potential role of the anatomical characterization of the brain lesion, structural and functional connectivity and the CST wiring in predicting treatment response will be investigated....### Hypothesis The RCT will address the following research hypotheses: 1. mCIMT, in combination with AOT, augments the treatment effects immediately after intervention and results in improved UL function with longer retention beyond mCIMT alone. 2. The combination of neurological predictors, i.e. neuroanatomical brain lesion characteristics, structural and functional connectivity and CST wiring pattern, better determines treatment response compared to clinical predictors. 3. Children with a bilateral and ipsilateral CST wiring respond less to the treatment compared to children with contralateral CST wiring in both intervention groups. 4. In children with more lesions or disturbed connectivity in the areas involving the mirror neuron system, AOT is not as effective as in those with less lesions in this area....Children with spastic uCP will be recruited via the CP-care program of the University Hospitals Leuven....Children will be assigned using stratified random sampling. Before intervention (T1), children will be first stratified according to the House Functional Classification Scale (4–5 vs. 6–7), age (6-9y vs. 10–12 y), and the type of CST wiring pattern (contralateral, bilateral and ipsilateral) assessed by Transcranial Magnetic Stimulation (TMS) to maximize homogeneity and minimize group differences at baseline. A permuted block design of two will then be used, created by a computer random number generator to randomize the participants to the mCIMT+AOT or mCIMT alone group within each stratum....### Sample size Sample size estimate is based on the primary endpoint, which is defined as the immediate effect of the intervention on the primary outcome measure, i.e. bimanual performance measured with the Assisting Hand Assessment (AHA). The smallest detectable difference has been reported to be 5 AHA units [24]. A previous intervention study of intensive therapy in children with uCP [6], reported a standard deviation of 5.5 AHA units, which would translate into an effect size of 0.9. With this effect size, an alpha-level of 0.05, and a statistical power of 0.80, a sample size of 21 children is needed in each group to detect a difference equal to or larger than the smallest detectable difference of 5 AHA units between groups [24, 25]. Sample size estimates were calculated with G*Power [26, 27]....",Individual persons ,Stratification | Blocking,Parallel ,Single factors,Superiority,No
5,Results,PMC6977217,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6977217/,"...The aim of this study was twofold: we first investigated the added value of AOT to CIMT in improving UL sensorimotor function in children with uCP; and secondly, we explored the influence of behavioural and neurological factors treatment response....Children with uCP were recruited between June 2014 and June 2017 via the cerebral palsy (CP) reference centre of the University Hospitals Leuven....The participants were stratified according to the HFC scale (4–5 versus 6–7), age (6–9 years versus 10–12 years), and the CST wiring pattern (contralateral, bilateral, ipsilateral) and assigned to the CIMT + AOT or CIMT + placebo AOT group by using a permuted block design of two....Sample size estimation for the primary outcome measure was conducted prior to study initiation, resulting in a total of 21 children in each group (ES = 0.9, alpha-level = 0.05, statistical power = 0.80), as described in more detailed in.16 The sample size was increased to a total of 44 to account for dropouts....",Individual persons ,Stratification | Blocking,Parallel ,Single factors,Superiority,No
