PairID,Protocol/Results,PMCID,Link,Text,Intervention protocol (treatment manual) availability,Used full article
1,Protocol,PMC3117715,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3117715/,"...Treatment comprises the 'package' of care delivered on the MMHU or standard care wards [8]....'Standard care' wards include four acute geriatric medical wards, and six general medical wards (with acute medicine, respiratory, diabetes, gastroenterology or rheumatology as their specialist interests)....#### Medical and Mental Health Unit The MMHU was developed over 18 months prior to trial commencement. The unit was previously a 28-bedded acute geriatric medical ward. We have described the development and philosophy of the ward elsewhere [8]. In brief, we enhanced five componants: • Specialist mental health staff additional to the normal ward complement of medical, nursing and therapy staff, comprising three registered mental health nurses, a specialist mental health occupational therapist (OT), 0.5 whole time equivalent (WTE) specialist physiotherapist, 0.2 WTE speech and langauge therapist, 0.2 WTE additional geriatrician time and 0.1 WTE psychiatrist time, and four unregistered health care assistants, two of whom took on the role of activities co-ordinators....• Training for all staff in the philosophy of person-centred dementia care. This emphasises respect for the person with dementia as an individual with a history, values and preferences, and the right to make choices. Confrontation is avoided, and activity and diversion promoted, based on making meaningful connections with the person with dementia's retained abilities. • A programme of therapeutic and leisure activites was instituted to try to maintain abilities, prevent distress behaviours, and promote night-time rest. Patients are got up and dressed if not too ill. • The environment was made more appropriate. The ward had to relocate after nine months of development, to one which was longer and with better lay out, when it was realised that sufficient adjustments could not be made in the original one. Noise (such as from radios and equipment alarms) is minimised. Orientation cues, appropriate signage and some safety modifications were made. Bed spaces are personalised. • A proactive and inclusive approach to family carergivers is promoted, with active communcation, involvement in decision making, and inclusion in hands on care, if willing....#### Trial documents The documents to be completed, and by whom, are recorded in table 1....",Unclear,Yes
1,Results,PMC3698942,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3698942/,"...#### Standard care “Standard care” wards included five acute geriatric medical wards and six general (internal) medical wards. Practice on geriatric medical wards was based on comprehensive geriatric assessment, and staff had general experience in the management of delirium and dementia. Mental health support was provided, on request, from visiting psychiatrists on a consultation basis. #### Medical and mental health unit The 28 bed specialist unit was an acute geriatric medical ward, with five enhanced components, described in detail elsewhere15: * Specialist mental health staff were employed, including three nurses, an occupational therapist, and regular twice weekly visits from a psychiatrist. There was also additional physiotherapy, speech and language therapy, and geriatrician time. Three healthcare assistants worked as activities coordinators * Staff were trained in recognition and management of delirium and dementia and the delivery of person centered dementia care17 18 19 20 21 * There was a programme of organised therapeutic and diversionary activities * The environment was made more appropriate for people with cognitive impairment * A proactive and inclusive approach to family carers was adopted. The two consultant geriatricians on the ward had a special interest in delirium and dementia and wrote thorough discharge letters to family doctors and other community services for all patients within a week of discharge. Delirium prevention measures included careful diagnostic and drug review; attention to nutrition, hydration, vision, hearing, and re-orientation; avoidance of urinary catheters and psychotropic drugs when possible; and early mobilisation and provision of activity.18...",Not reported,No
2,Protocol,PMC3120681,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3120681/,"...Exposure1: Strategy to titrate sertraline up to the maximum of the effective range, i.e. 25 mg/d -> 50 mg/d -> 100 mg/d Exposure2: Strategy to titrate sertraline upt to the minimum of the effective range, i.e. 25 mg/d -> 50 mg/d -> 50 mg/d...Exposure1: Continue sertraline 50 mg/d or 100 mg/d for 6 more weeks Exposure2: Augment sertraline with mirtazapine 15-45 mg/d Exposure3: Switch to mirtazapine 15-45 mg/d...Exposure1: Strategy to titrate sertraline up to the maximum of the effective range, i.e. 25 mg/d -> 50 mg/d -> 100 mg/d by week 3, then allocated to continue sertraline between week 3 and week 9, then treated at the discretion of the trial physician Exposure2: Strategy to titrate sertraline up to the minimum of the effective range, i.e. 25 mg/d -> 50 mg/d -> 50 mg/d by week 3, then allocated to continue sertraline between week 3 and week 9, then treated at the discretion of the trial physician...Exposure1: Continue sertraline 50 mg/d or 100 mg/d for 6 more weeks, then treated at the discretion of the trial physician Exposure2: Augment sertraline with mirtazapine 15-45 mg/d up to week 9, then treated at the discretion of the trial physician Exposure3: Switch to mirtazapine 15-45 mg/d up to week 9, then treated at the discretion of the trial physician...##### Treatments The trial physician will prescribe according to either of the following schedule, depending on his/her own allocated treatment strategy. 1) In the 100 mg/d arm, prescribe 50-75 mg/d (once after dinner or before bedtime) for one week at week 1, then prescribe 100 mg/d (once or divided twice per day) for one week at week 2 2) In the 50 mg/d arm, prescribe 50 mg/d (once after dinner or before bedtime) for one week at week 1, then prescribe the same regimen for one week at week 2...##### Treatments The details of the three intervention arms are as follows. 1) Continue sertraline as specified by Step I cluster randomization. Between week 4 and week 9, sertraline must be kept within the maximum as specified by Step I cluster randomization. If the dosage has not reached this maximum (e.g. 100 mg/d) at week 3, it can be increased to this maximum (in this case, 100 mg/d) between week 3 and week 9. 2) Continue sertraline as specified by Step I cluster randomization and add mirtazapine 15 mg/d at bedtime to augment sertraline. After week 4, mirtazapine can be given in 7.5-45 mg/d at bedtime. Between week 4 and week 9, sertraline must be kept within the maximum as specified by Step I cluster randomization. If the sertraline dosage has not reached this maximum (e.g. 100 mg/d) at week 3, it can be increased to this maximum (in this case, 100 mg/d) between week 3 and week 9. Mirtazapine should usually be started at 15 mg/d but can be halved by the treating psychiatrist taking into account age etc of the patient. 3) Decrease sertraline to half the current dose and add mirtazapine 7.5-15 mg/d at bedtime in order to switch to mirtazapine. Sertraline must be halved at week 3 and stopped by week 4 or week 5 (sertraline should no longer be prescribed at week 7 at the latest), so that the patient will receive mirtazapine 7.5-45 mg/d only between week 7 and week 9....##### Treatments All the available treatment guidelines for depression recommends that the acute phase treatment, if successful, be continued at least several months. All the treatments between week 9 and week 25 are at the treating physician's discretion. He/she may continue with the same regimen or completely change the regimen....",Not reported,Yes
2,Results,PMC6040068,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6040068/,"...In step 1, participants in the minimum dosage arm received 50 mg/day of sertraline at week 1 to be continued through week 3, and those in the maximum dosage arm received 50–75 mg/day at week 1 and 100 mg/day at week 2 to be continued through week 3....In step 2, in the continuing sertraline arm, sertraline was administered as 50 or 100 mg/day according to the initial randomisation. In the combination arm, sertraline was continued and mirtazapine was added between 7.5 and 45 mg/day at the discretion of the study psychiatrist. In the mirtazapine switch arm, mirtazapine between 7.5 mg and 45 mg/day was administered; sertraline was tapered and discontinued by week 7....### Availability of data and materials Sharing of identifiable, individual-level data is prohibited by Japanese law....",Not reported,No
3,Protocol,PMC3355035,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3355035/,"...The experimental group will receive the Tobacco Tactics website intervention. The control group will receive the 1-800-QUIT-NOW telephone quit line....### Description of Tobacco Tactics web-based intervention #### General description The Tobacco Tactics website was developed based on a manual tested in a prior clinical trial and is in keeping with guideline recommendations for treatment of tobacco [42]. The content is written at an 8th grade reading level....The home page is illustrated with colorful graphics and video of a testimonial from an Operating Engineer who quit smoking. The left side of the home page has “buttons” that link to modules that have been used in our Tobacco Tactics intervention. The top of the homepage has informational tabs. See Figure 2. Figure 2 Sample Screen Shot of Tobacco Tactics Website. #### Preparing to quit The left side of the homepage provides information on the perceived benefits and barriers to quitting. The General Information button provides content on the Patterns of Smoking among Operating Engineers, Health Consequences of Tobacco Use, Immediate Physical Effects from Cessation, Chemicals in Cigarettes including a scrolling list of the chemicals, and Second Hand Smoke. The Are You Ready for Change button provides interactive self-assessments on reasons for quitting, nicotine dependence, and identification of smoker type which then provide the Operating Engineers with tailored messages. #### Medications Another button on the left side of the homepage links to a review of the medications available to assist with cessation and provides a suggested medication algorithm (enhancing self-efficacy). Operating Engineers will be offered their choice of a full supply of over-the-counter nicotine patch, gum, or lozenge. This is similar to what is done in other internet intervention studies [27], and is also done by the 1-800-QUIT-NOW quit line (control group)....See Figure 3 for additional screen shots. Figure 3 Sample Tobacco Tactics Web Pages. #### Active quitting Additional buttons on the left side of the homepage include information to enhance self-efficacy. The Goal Setting button has the Operating Engineer prepare for quitting by discarding all cigarettes, cleaning the car, informing family and friends, and setting a quit date. The Handling Thoughts About Tobacco button assists with assessing high risk situations and common triggers for relapse. The Coping With Cravings button gives tips based on their smoker type. The Coping With Relapses button discusses the role of alcohol, depression and relapse. The Common Problems in Quitting button discusses withdrawal symptoms and weight gain. The Life As A Non-Tobacco user button is designed to highlight how positive life can be as a nonsmoker. Additional buttons provide relaxation exercises and resources. #### Informational tabs “Tabs” across the top of the homepage include My Page which saves the participants’ data from interactive exercises. The tab About Us includes information about the study team. There is a tab to Contact Us. The Messages tab allows the study nurse to post messages for individual participants. The Latest News tab is a newsfeed from a smoking cessation blog. There is also a tab for an e-community. #### Interactivity and tailoring To enhance self-efficacy and perceived benefits and to reduce barriers, the treatments link will provide interactive cognitive behavioral therapy exercises tailored to the individual including a self-assessment of their tobacco habit, calculating a score about their level of addiction, identifying their smoker type, calculating money savings, preparing for quitting, (e.g., cleaning the car of cigarette butts, etc.), change plan work sheet, and coping with relapses. Additional interactive components will provide mechanisms for tobacco users to assess their smoking habit, set a quit date, and monitor weekly progress. #### Nurse counseling Since studies have shown that telephone and nurse counseling is efficacious [30-32] and tailored telephone and regular postal mail cessation interventions have been found to be efficacious among construction workers [43], the Tobacco Tactics web-based intervention will be enhanced with follow-up nurse telephone and/or email counseling contacts at 2, 7, 14, 21, and 30 days after the training. The follow-up contacts will reinforce the initial website visit, promote skill building, and monitor pharmacologic treatment....#### E-community/forum Since peer support has been shown to enhance behavioral interventions [44], there will also be a nurse-monitored e-community to enhance self-efficacy. The nurse will serve as group moderator for the e-community and answer questions and post questions to stimulate group discussion. Each participant will be asked to select a pseudonym in order to establish an on-line identity while maintaining privacy. Following work by Lorig et al. [45], the e-community will be used to provide social support, both peer and professional. The e-community will allow intervention participants to post messages, ask questions and share success stories. While a disadvantage of the electronic forum is that the participant has to log in to both read and post messages, an advantage is that it will prevent e-mail overload and all postings can be monitored to prevent inappropriate messages or communication. The nurse will be trained to indentify messages deemed inappropriate, these messages will be deleted, the person that posted the message will be counseled and, if such behavior continues, they will have their access privileges revoked. #### Informatics for the project The Tobacco Tactics website for Operating Engineers was developed by Allen Wayne, LTD, who will also provide backup informatics during the course of the study. The website will be housed on a secure server at the University of Michigan. ### Control intervention #### Principles of control group design A recent article provides valuable insights into the design of control group conditions in clinical trials for behavioral interventions [46]. A fundamental principle is that the experimental and control conditions should be as equivalent on as many elements as possible including time spent, parallel recruitment periods and follow-up times, and attention given to participants. Both the intervention and control conditions should be of interest and value to the participants; control groups should not burden participants with worthless tasks as this may result in drop out of control group participants. Ethical considerations about withholding standard treatments should also be considered. When these conditions are met, the internal validity of the intervention is achieved. #### Rationale for comparison arm Given the principles of control group design, several options were considered as comparison arms for this study. One option was a “placebo” website (e.g., physical activity website); however, the literature shows that cessation websites work and we feel ethically obligated to provide some sort of cessation treatment. Another option was referral to another cessation website such as smokefree.gov, this being one of the better sites currently available; however, smokefree.gov is largely informational and has no interactive exercises or tailored messages and studies have shown that websites of this nature, while informational, are highly unlikely to engage participants and effect behavior change. A third option was to refer to an existing cessation treatment website; however, these sites often cost money and may not be well designed or marketed to appeal to Operating Engineers. After careful deliberation, we chose to compare the website to the 1-800-QUIT-NOW telephone quit line currently available in Michigan. The comparison arm was designed to answer the question that we felt would be of most value: Can the Tobacco Tactics website for Operating Engineers produce results better than an efficacious cessation treatment that is currently available in the community? #### Description of 1-800-QUIT-NOW telephone quit line The 1-800-QUIT-NOW quit line is a national program, run by each individual state, so the program can vary from state to state, however, we are only recruiting in Michigan so all participants will receive the same intervention. The first time someone calls the quit line, they will receive a personal coach who will assist them in setting a quit date and making an individualized quit plan. The personal coach also will provide on-going support with up to five telephone coaching sessions around the caller’s quit date. The first session usually lasts between 20–30 minutes and includes the intake evaluation and setting up appointments for the remaining counseling sessions. The length of the typical follow-up session is usually 20–40 minutes. Similar to our Tobacco Tactics intervention, the Michigan quit line provides free nicotine replacement therapy (patches or gum) for residents who are either uninsured or for those who have insurance that will not cover nicotine replacement therapy. #### Equivalency across comparison groups In keeping with the aforementioned principles of designing control groups, the Tobacco Tactics website and the 1-800-QUIT-NOW control conditions have been designed to be as equivalent as possible, in terms of time spent, parallel recruitment and follow-up, attention given to participants, and access to nicotine replacement therapy. Both groups are provided with a cessation intervention, nicotine replacement therapy, and equal numbers of follow-up contacts....",Not reported,Yes
3,Results,PMC4260077,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4260077/,"...### Description of the Tobacco Tactics Website Intervention The development of the Tobacco Tactics website is described in detail in an earlier publication [23]. The Tobacco Tactics website contains humorous graphics tailored to operating engineers, tailored cessation feedback, and follow-up nurse counseling offered by multimedia options including phone and/or email, and/or e-community (Figure 1 and Figure 2). Figure 1 Screenshot of the intervention. Figure 2 Screenshot of the intervention. The content was written at an 8th grade reading level and provided interactive cognitive behavioral therapy exercises including a self-assessment of tobacco habit, calculation of a nicotine dependence score, identification of smoker type, calculation of money savings, tips for prepare for quitting (eg, cleaning the car of cigarette butts, etc), a change plan work sheet, and strategies for coping with relapses. Additional interactive components provide mechanisms for tobacco users to assess their smoking habit, set a quit date, and monitor weekly progress. Since peer support has been shown to enhance behavioral interventions [26], there was also a nurse-monitored e-community. A research nurse served as a group moderator for the e-community three times per week, answered questions, and posted questions to stimulate group discussion. Upon each log-off, participants were asked to answer a few brief questions about their tobacco habit, which resulted in a graph that showed their progress in quitting over time. Operating engineers were offered their choice of a full supply of over- the-counter nicotine patches, gum, lozenges, or a combination of these for highly addicted smokers. Since studies have shown that telephone and nurse counseling is efficacious [27-29] and tailored telephone and regular postal mail cessation interventions have been found to be efficacious among construction workers [20], the nurse made follow-up telephone and/or email counseling contacts at 2, 7, 14, 21, and 30 days after the training....### Description of the 1-800-QUIT-NOW Intervention According to the recommendations for the design of control group conditions in clinical trials [30], the control group condition should be designed to be equivalent as much as possible on time spent, follow-up times, and attention given to participants. In keeping with the recommendations, the 1-800-QUIT-NOW intervention was chosen as a control condition since it was as equivalent as possible to the Tobacco Tactics Web-enhanced intervention in terms of baseline counseling from the study nurse, numbers of follow-up calls, and medications available. Participants randomized to the 1-800-QUIT-NOW were counseled by the study nurse to call and were given time to do so at their safety training class. The first time participants called the quit line, they received a personal coach who assisted them in setting a quit date and making an individualized quit plan, followed by up to five telephone coaching sessions around the caller’s quit date and free NRT (patches or gum), which were all equivalent to the Tobacco Tactics intervention....",Not reported,No
4,Protocol,PMC3418177,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3418177/,"...Patients randomized to the intervention group will be treated with CBT for PCF, as described previously.[14] The treatment consists of 12–14 individual sessions in six months. Patients randomized to the control group will be treated with CBT after six months....",Not reported,Yes
4,Results,PMC3770709,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3770709/,"...Patients randomized to the intervention group were immediately treated with CBT for postcancer fatigue, as described previously [10], whereas patients randomized to the control group waited six months for CBT and received CBT outside the study....",Not reported,Yes
5,Protocol,PMC6069849,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6069849/,"...### Treatment protocol A day camp model will be used during which children receive intensive therapy for 6 hours a day, for 9 out of 11 consecutive days, with no therapy during the weekend (total of 54 h of therapy). Child/therapist ratio will be 1:1 to secure individual guidance. Experienced paediatric physiotherapists will lead the camps, assisted by physiotherapy master students, specialized in paediatric rehabilitation. During the camps, all children wear a tailor-made hand splint on the less impaired UL while performing unimanual exercises based on (1) shaping and repetitive practice during individual therapy (9 h), (2) group activities (30 h) and (3) action-observation training or control condition (15 h). The theme throughout the camp is ‘Zora’, a rehabilitation robot that will welcome and motivate the children to engage in the activities. The splint is a rigid orthosis, individually adjusted and covering fingers, thumb, and wrist. #### Individual therapy One hour per day the child receives individual therapy based on motor learning principles of shaping and repetitive practice. Four goals will be trained that focus on the most commonly reported UL problems: active wrist and elbow extension, forearm supination, grip strength and fine motor tasks. The main investigators developed a manual encompassing exercises for these four goals embedded in functional activities. Individual guidelines for each child will be set up, based on baseline body function measures and video-based assessments of the Melbourne Assessment 2 (see evaluation for more details). Each child will exercise the four goals within a rotation system, in which each goal is practiced for 15 min taking the individual guidelines of the child into account. The degree of difficulty of the exercises and therapy equipment will be adapted daily to the child’s progress. #### Group activities The group activities will consist of varied activities such as painting, cooking, crafts and outdoor games. These activities will be selected and adapted to stimulate intensive use of the more impaired hand. This was further ensured by the one-on-one guidance. The activities will be uniquely performed with the more impaired hand. In activities demanding the use of two hands, the children will cooperate in pairs with each other or with the therapist. #### Action-observation training Children in the experimental group will receive a total of 15 AOT sessions of one hour, which is 1 or 2 h per camp day. The AOT program will be in line with the one described by Sgandurra et al. [13, 28]. However, the bimanual tasks will be replaced by unimanual activities, in order to keep the focus on unimanual training. During AOT, the children will watch video sequences showing unimanual goal directed actions. Two series of activity sets are developed, adapted according to the UL functional level of the child: one for children with House Functional Classification 4 or 5 (see Additional file 1: Table S1) and one for those with House Functional Classification 6 to 8 (see Additional file 2: Table S2). The set-up and the goal of the activities is similar, although the type of movement is simplified for the children classified in level 4–5. Both in the videos as well as during the execution of the tasks, all the material is placed on dark surface to highlight the contrast and facilitate the focus on the activity, in particular for those with a visual and/or attention problem. To avoid potential mental rotation, all videos will be shown in the perspective of the child (i.e. first-person perspective and side of the impaired hand is performing the action, where only the arm and hand are visible). The children will sit 50 cm in front of a computer screen of 22 in.. A therapist will sit next to the child on the more impaired side. In total, the AOT will consist of 15 tasks, one for each session, and each task will consist of three sub-activities. One action will be repeated for a total duration of 3 minutes. After watching this video sequence, the child will execute the observed actions with the more impaired UL repeatedly for 3 minutes. Each video will be performed twice. As such, a total of six video sequences are shown during one therapy session. While watching the videos, the therapist will keep the attention of the child focused on the shown actions. During the execution of the action, the therapist will verbally stimulate the child without giving any suggestive remarks (regarding movement quality) or providing a demonstration. The children in the control group will watch video games not showing any human movements and not requiring any manual actions of the child because the therapist seated next to the child will control the keyboard and mouse. Afterwards, these children will practice the same tailored actions for 3 minutes in the same order as the experimental group. Verbal instructions will be given by the therapist without suggestive remarks or a demonstration of the task performance....",Not applicable,Yes
5,Results,PMC6977217,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6977217/,"...### Intervention The intervention was delivered in a day camp model during 9 out of 11 consecutive days (6 h/day, total of 54 h of therapy). During the camp, all children wore a tailor-made hand splint on the less impaired hand while performing unimanual exercises during individual therapy (9 h), group activities (30 h), and AOT/placebo condition (15 h). A day (6 h of therapy) was structured with 1 h of individual therapy, 2 h of AOT/placebo, and 3 h of group activities. The children wore the hand splint during the whole time of the camp, as long as daily life activities (i.e. eating and toileting) were feasible. The individual therapy was based on motor learning principles of shaping and repetitive practice by focusing on four goals: (a) active wrist and elbow extension, (b) forearm supination, (c) grip strength, and (d) fine motor tasks. The group activities consisted of painting, crafting, cooking, and outdoor playing, selected to stimulate the intensive use of the more impaired hand. Children assigned to the CIMT + AOT group received 15 h of AOT sessions. During these sessions, children watched video sequences showing unimanual goal-directed actions, adapted to the child’s functional level: easier activities for children with a HFC level of 4–5 and more difficult activities for children with a HFC level of 6–7. The description of the activities can be found in more detail elsewhere (Figure 1 and Additional files of Simon- Martinez and colleagues).16 Each AOT session lasted about 1 h and 15 AOT sessions were performed over 9 days (either 1 or 2 per day). Each AOT session contained 3 sub-activities, which were watched for 3 min. After watching the video, the children executed the observed task for 3 min. This process was repeated a second time for each sub-activity. The completion of the AOT session was achieved when the 3 sub-activities of the session were watched, and its tasks executed. In conclusion, per AOT session the videos were watched for 18 min (6 times, 3 min). The CIMT + placebo group watched video games free of human motion (e.g. Tetris, Word Soup, Hanged Game). The children interacted with the game whilst the therapists controlled the mouse and/or keyboard. After watching the video with the sub-activity being repeated for 3 min, they executed the same sub-activity for 3 min in the same order as the experimental group, for which only verbal, non-suggestive instructions (e.g. try to extend your wrist, open the hand) were provided. This ensured that the potential additional measured effect solely derived from the video-observation....These questions were not related to how the movement was performed but rather to features related to the video (e.g. is the box taken from the top? Did you see the palm of the hand?). This procedure kept the motivation of the child in observing attentively. At the end of the intervention, the number of correct answers were summed, ranging from 0 (all answers incorrect) to 45 (all answers correct). Figure 1. Illustration of a goal-directed activities used for the action-observation Training (AOT) for each different hand function level. On the top panel, the three sub-activities for children with House Functional Classification (HFC) levels 4–5. On the bottom panel, three sub-activities for children with HFC levels 6–8. For both levels, each consecutive sub-activity becomes one step more challenging by changing the direction of inserting the coin, as indicated by the arrows. Children were shown from the first-person perspective how to grasp the poker coin and insert it in the box through the slot. Note that the activities for levels 6–8 are more challenging, as they require a combination of increased wrist extension and supination....",Not reported,No
